,chip,code,C,R,F,label,count,probability,date,date_index,dataset,concentration
27,3,3,0,1,1,¬CRF,0.0,0.0,20230221,1,11,1.5
26,3,2,0,1,0,¬CR¬F,5.0,0.0131926121372031,20230221,1,11,1.5
25,3,1,0,0,1,¬C¬RF,0.0,0.0,20230221,1,11,1.5
31,3,7,1,1,1,CRF,0.0,0.0,20230221,1,11,1.5
24,3,0,0,0,0,¬C¬R¬F,422.0,0.9723502304147466,20230111,1,9,1.5
30,3,6,1,1,0,CR¬F,0.0,0.0,20230313,1,12,1.5
38,4,6,1,1,0,CR¬F,0.0,0.0,20230111,1,9,2.0
32,4,0,0,0,0,¬C¬R¬F,409.0,0.9784688995215312,20230111,1,9,2.0
33,4,1,0,0,1,¬C¬RF,0.0,0.0,20230111,1,9,2.0
34,4,2,0,1,0,¬CR¬F,0.0,0.0,20230111,1,9,2.0
35,4,3,0,1,1,¬CRF,0.0,0.0,20230111,1,9,2.0
36,4,4,1,0,0,C¬R¬F,9.0,0.0215311004784689,20230111,1,9,2.0
37,4,5,1,0,1,C¬RF,0.0,0.0,20230111,1,9,2.0
39,4,7,1,1,1,CRF,0.0,0.0,20230111,1,9,2.0
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20221031,1,6,2.0
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20221013,1,5,2.0
38,4,6,1,1,0,CR¬F,0.0,0.0,20221122,1,8,2.0
10,1,2,0,1,0,¬CR¬F,362.0,0.914141414141414,20221031,1,6,2.0
11,1,3,0,1,1,¬CRF,1.0,0.0025252525252525,20221031,1,6,2.0
12,1,4,1,0,0,C¬R¬F,0.0,0.0,20221031,1,6,2.0
13,1,5,1,0,1,C¬RF,0.0,0.0,20221031,1,6,2.0
14,1,6,1,1,0,CR¬F,28.0,0.0707070707070707,20221031,1,6,2.0
15,1,7,1,1,1,CRF,1.0,0.0025252525252525,20221031,1,6,2.0
9,1,1,0,0,1,¬C¬RF,3.0,0.0084985835694051,20221031,2,7,2.0
10,1,2,0,1,0,¬CR¬F,268.0,0.7592067988668555,20221031,2,7,2.0
11,1,3,0,1,1,¬CRF,67.0,0.1898016997167138,20221031,2,7,2.0
12,1,4,1,0,0,C¬R¬F,1.0,0.0028328611898017,20221031,2,7,2.0
13,1,5,1,0,1,C¬RF,1.0,0.0028328611898017,20221031,2,7,2.0
14,1,6,1,1,0,CR¬F,1.0,0.0028328611898017,20221031,2,7,2.0
39,4,7,1,1,1,CRF,0.0,0.0,20221122,1,8,2.0
15,1,7,1,1,1,CRF,1.0,0.0028328611898017,20221031,2,7,2.0
13,1,5,1,0,1,C¬RF,0.0,0.0,20221013,1,5,2.0
12,1,4,1,0,0,C¬R¬F,2.0,0.0050377833753148,20221013,1,5,2.0
11,1,3,0,1,1,¬CRF,1.0,0.0025188916876574,20221013,1,5,2.0
10,1,2,0,1,0,¬CR¬F,23.0,0.0579345088161209,20221013,1,5,2.0
8,1,0,0,0,0,¬C¬R¬F,4.0,0.0101010101010101,20221031,1,6,2.0
8,1,0,0,0,0,¬C¬R¬F,371.0,0.9345088161209067,20221013,1,5,2.0
32,4,0,0,0,0,¬C¬R¬F,26.0,0.0698924731182795,20221122,1,8,2.0
33,4,1,0,0,1,¬C¬RF,3.0,0.0080645161290322,20221122,1,8,2.0
34,4,2,0,1,0,¬CR¬F,316.0,0.8494623655913979,20221122,1,8,2.0
35,4,3,0,1,1,¬CRF,27.0,0.0725806451612903,20221122,1,8,2.0
36,4,4,1,0,0,C¬R¬F,0.0,0.0,20221122,1,8,2.0
37,4,5,1,0,1,C¬RF,0.0,0.0,20221122,1,8,2.0
15,1,7,1,1,1,CRF,0.0,0.0,20221013,1,5,2.0
8,1,0,0,0,0,¬C¬R¬F,11.0,0.0311614730878186,20221031,2,7,2.0
14,1,6,1,1,0,CR¬F,0.0,0.0,20221013,1,5,2.0
11,1,3,0,1,1,¬CRF,0.0,0.0,20220524,1,0,2.0
34,4,2,0,1,0,¬CR¬F,1.0,0.0023640661938534,20220602,1,1,2.0
39,4,7,1,1,1,CRF,3.0,0.007125890736342,20230313,1,12,2.0
38,4,6,1,1,0,CR¬F,0.0,0.0,20230313,1,12,2.0
12,1,4,1,0,0,C¬R¬F,62.0,0.1458823529411764,20220524,1,0,2.0
32,4,0,0,0,0,¬C¬R¬F,415.0,0.9810874704491724,20220602,1,1,2.0
37,4,5,1,0,1,C¬RF,0.0,0.0,20230313,1,12,2.0
36,4,4,1,0,0,C¬R¬F,2.0,0.004750593824228,20230313,1,12,2.0
35,4,3,0,1,1,¬CRF,61.0,0.1448931116389548,20230313,1,12,2.0
8,1,0,0,0,0,¬C¬R¬F,259.0,0.5642701525054467,20220628,1,2,2.0
10,1,2,0,1,0,¬CR¬F,0.0,0.0,20220524,1,0,2.0
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20220628,1,2,2.0
11,1,3,0,1,1,¬CRF,0.0,0.0,20220628,1,2,2.0
12,1,4,1,0,0,C¬R¬F,200.0,0.4357298474945534,20220628,1,2,2.0
13,1,5,1,0,1,C¬RF,0.0,0.0,20220628,1,2,2.0
14,1,6,1,1,0,CR¬F,0.0,0.0,20220628,1,2,2.0
15,1,7,1,1,1,CRF,0.0,0.0,20220628,1,2,2.0
34,4,2,0,1,0,¬CR¬F,283.0,0.672209026128266,20230313,1,12,2.0
33,4,1,0,0,1,¬C¬RF,2.0,0.004750593824228,20230313,1,12,2.0
32,4,0,0,0,0,¬C¬R¬F,70.0,0.166270783847981,20230313,1,12,2.0
33,4,1,0,0,1,¬C¬RF,0.0,0.0,20220602,1,1,2.0
10,1,2,0,1,0,¬CR¬F,0.0,0.0,20220628,1,2,2.0
9,1,1,0,0,1,¬C¬RF,0.0,0.0,20220524,1,0,2.0
35,4,3,0,1,1,¬CRF,0.0,0.0,20220602,1,1,2.0
39,4,7,1,1,1,CRF,0.0,0.0,20230221,1,11,2.0
8,1,0,0,0,0,¬C¬R¬F,363.0,0.8541176470588235,20220524,1,0,2.0
36,4,4,1,0,0,C¬R¬F,6.0,0.0141843971631205,20220602,1,1,2.0
